1,Cuerdas,Bajo,Jackson,Blanco,HMG,43249.000000,Si
2,Percusion,Bongo,Tama,Amarillo,MjMusic,22108.000000,No
3,Teclas,Sintetizador,Yamaha,Amarillo,MartCar,24168.000000,Si
4,Viento,Armonica,Jupiter,Naranja,HMG,8875.000000,Si
5,Viento,Armonica,Jupiter,Blanco,Intermusica,104976.000000,Si
6,Cuerdas,Arpa,Moon,Gris,MartinBlust,105206.000000,No
7,Percusion,Xilofon,Yamaha,Azul,HMG,20550.000000,Si
8,Percusion,Bateria,Tama,Gris,HMG,66413.000000,No
9,Teclas,Sintetizador,Yamaha,Verde,MartCar,84253.000000,Si
10,Viento,Saxofon,Lazer,Amarillo,MartCar,92607.000000,No
11,Viento,Armonica,Jupiter,Violeta,MjMusic,109772.000000,Si
12,Teclas,Piano,Lazer,Marron,Intermusica,60046.000000,No
13,Teclas,Sintetizador,Thunder,Naranja,MartinBlust,64344.000000,No
14,Viento,Flauta,Lazer,Celeste,Intermusica,96595.000000,Si
15,Percusion,Pandereta,Yamaha,Celeste,HMG,85590.000000,No
16,Percusion,Pandereta,Lazer,Marron,MjMusic,61600.000000,Si
17,Viento,Trompeta,Lazer,Rojo,Intermusica,104007.000000,Si
18,Teclas,Teclado,Moon,Gris,MjMusic,17524.000000,Si
19,Percusion,Bateria,Tama,Blanco,MjMusic,83914.000000,No
20,Teclas,Piano,Moon,Verde,HMG,18677.000000,Si
21,Viento,Flauta,Yamaha,Verde,MjMusic,92890.000000,Si
22,Percusion,Pandereta,Moon,Verde,MartinBlust,73134.000000,No
23,Cuerdas,Guitarra,Gibson,Marron,MartCar,2036.000000,No
24,Teclas,Teclado,Moon,Amarillo,Intermusica,32526.000000,Si
25,Viento,Trompeta,Jupiter,Marron,Intermusica,68929.000000,No
26,Viento,Flauta,Moon,Gris,HMG,75422.000000,Si
27,Cuerdas,Ukelele,Gracia,Azul,Intermusica,20093.000000,Si
28,Teclas,Piano,Thunder,Marron,MartCar,48514.000000,Si
29,Percusion,Xilofon,Moon,Negro,HMG,27413.000000,No
30,Cuerdas,Arpa,Yamaha,Violeta,MartCar,58029.000000,No
31,Viento,Flauta,Jupiter,Marron,MjMusic,47557.000000,No
32,Percusion,Bateria,Mapex,Violeta,Intermusica,107155.000000,Si
33,Teclas,Teclado,Yamaha,Naranja,HMG,46306.000000,Si
34,Viento,Trompeta,Lazer,Celeste,MjMusic,101353.000000,Si
35,Percusion,Pandereta,Lazer,Naranja,MjMusic,89741.000000,Si
36,Teclas,Teclado,Yamaha,Violeta,MartinBlust,67941.000000,Si
37,Viento,Saxofon,Lazer,Naranja,MartinBlust,1910.000000,No
38,Cuerdas,Guitarra,Gracia,Celeste,MartinBlust,91578.000000,No
39,Percusion,Bateria,Tama,Marron,HMG,10545.000000,Si
40,Teclas,Piano,Lazer,Verde,MartCar,64638.000000,No
41,Teclas,Piano,Moon,Naranja,MartCar,85008.000000,No
42,Percusion,Pandereta,Lazer,Verde,HMG,28079.000000,No
43,Teclas,Sintetizador,Thunder,Blanco,MartCar,105727.000000,No
44,Cuerdas,Guitarra,Fender,Violeta,Intermusica,91434.000000,Si
45,Viento,Saxofon,Jupiter,Azul,HMG,72201.000000,Si
46,Cuerdas,Guitarra,Fender,Rojo,MjMusic,3678.000000,No
47,Percusion,Bateria,Tama,Amarillo,MjMusic,98628.000000,No
48,Percusion,Xilofon,Yamaha,Gris,MartCar,71756.000000,Si
49,Percusion,Bongo,Yamaha,Azul,HMG,114394.000000,No
50,Cuerdas,Bajo,Fender,Negro,MartCar,93032.000000,Si
51,Cuerdas,Ukelele,Lazer,Amarillo,MartCar,79628.000000,Si
52,Viento,Trompeta,Lazer,Celeste,HMG,64160.000000,Si
53,Cuerdas,Ukelele,Gracia,Amarillo,HMG,16037.000000,No
54,Viento,Trompeta,Jupiter,Gris,MjMusic,12110.000000,Si
55,Viento,Saxofon,Jupiter,Rojo,MartinBlust,41902.000000,Si
56,Teclas,Sintetizador,Moon,Marron,HMG,60283.000000,Si
57,Viento,Flauta,Moon,Naranja,HMG,68470.000000,No
58,Percusion,Bateria,Mapex,Rojo,MjMusic,108516.000000,No
59,Viento,Trompeta,Jupiter,Naranja,MjMusic,69214.000000,No
60,Viento,Trompeta,Lazer,Gris,MartinBlust,2052.000000,No
61,Teclas,Sintetizador,Moon,Azul,HMG,115167.000000,No
62,Viento,Flauta,Moon,Gris,HMG,22427.000000,No
63,Percusion,Bateria,Thunder,Marron,MartinBlust,105807.000000,Si
64,Viento,Trompeta,Jupiter,Amarillo,MartinBlust,74187.000000,No
65,Cuerdas,Bajo,Fender,Rojo,MartCar,102475.000000,No
66,Viento,Flauta,Jupiter,Verde,HMG,114557.000000,No
67,Viento,Trompeta,Lazer,Rojo,MjMusic,16340.000000,Si
68,Viento,Trompeta,Lazer,Negro,MjMusic,72592.000000,No
69,Teclas,Piano,Thunder,Celeste,MartinBlust,91052.000000,Si
70,Viento,Trompeta,Jupiter,Gris,MjMusic,75040.000000,No
71,Viento,Saxofon,Yamaha,Violeta,Intermusica,77692.000000,No
72,Cuerdas,Ukelele,Yamaha,Gris,MjMusic,112097.000000,No
73,Teclas,Sintetizador,Yamaha,Rojo,MjMusic,75128.000000,No
74,Teclas,Sintetizador,Thunder,Celeste,MjMusic,34593.000000,No
75,Cuerdas,Arpa,Yamaha,Azul,MartinBlust,118801.000000,No
76,Cuerdas,Arpa,Yamaha,Rojo,MartCar,49420.000000,No
77,Cuerdas,Bajo,Jackson,Naranja,HMG,70916.000000,No
78,Percusion,Bongo,Tama,Amarillo,MjMusic,110378.000000,No
79,Teclas,Sintetizador,Yamaha,Violeta,MjMusic,6442.000000,No
80,Teclas,Teclado,Moon,Verde,MartinBlust,6879.000000,No
81,Teclas,Sintetizador,Moon,Gris,HMG,36736.000000,Si
82,Percusion,Bateria,Tama,Violeta,MjMusic,75914.000000,No
83,Teclas,Teclado,Yamaha,Celeste,MartinBlust,60644.000000,No
84,Cuerdas,Bajo,Jackson,Violeta,Intermusica,95550.000000,Si
85,Percusion,Bateria,Tama,Naranja,Intermusica,40630.000000,Si
86,Teclas,Sintetizador,Lazer,Amarillo,HMG,79621.000000,No
87,Viento,Flauta,Jupiter,Naranja,MartinBlust,85519.000000,No
88,Teclas,Sintetizador,Thunder,Amarillo,MartinBlust,9495.000000,No
89,Cuerdas,Arpa,Moon,Negro,HMG,114456.000000,No
90,Cuerdas,Ukelele,Moon,Amarillo,MjMusic,72610.000000,No
91,Cuerdas,Arpa,Yamaha,Gris,MartCar,30495.000000,No
92,Percusion,Pandereta,Yamaha,Azul,MartCar,53180.000000,Si
93,Teclas,Sintetizador,Moon,Rojo,Intermusica,77645.000000,Si
94,Cuerdas,Guitarra,Jackson,Marron,MartCar,73905.000000,No
95,Percusion,Pandereta,Moon,Azul,MartinBlust,3342.000000,Si
96,Viento,Flauta,Moon,Azul,HMG,14401.000000,Si
97,Teclas,Piano,Lazer,Marron,HMG,43371.000000,No
98,Teclas,Piano,Yamaha,Celeste,MartinBlust,71675.000000,No
99,Cuerdas,Arpa,Yamaha,Azul,MartinBlust,7066.000000,Si
100,Teclas,Sintetizador,Yamaha,Violeta,Intermusica,26334.000000,Si
101,Percusion,Bateria,Mapex,Negro,Intermusica,34000.000000,Si
103,Viento,Flauta,Jupiter,Rojo,Martinblust,23000.000000,Si
